example_id,source_group_id,split,id,query,active_unit_count,vehicle_unit_count,has_vehicle_target,domains,issue_codes,initial_status,final_status
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1152,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1152,train,1152,退出PM2.5设置项,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1153,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1153,train,1153,关闭左前阅读灯,1,1,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1154,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1154,train,1154,麻烦转到空调吹脸,1,1,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1155,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1155,train,1155,我想吃徽菜,1,0,False,地图,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1156,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1156,train,1156,导航去保定的汉庭酒店,1,0,False,地图,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1157,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1157,train,1157,你会什么一体机菜谱,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1158,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1158,train,1158,车辆大小打开屏幕风力调到最大,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1159,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1159,train,1159,帮我播一些相声以前放的这些,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1160,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1160,train,1160,设置车内灯,1,1,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1161,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1161,train,1161,播放歌曲致素未谋面却如此相似的我们,1,0,False,音乐,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1162,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1162,train,1162,打开听歌,1,0,False,音乐,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1163,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1163,train,1163,明天下雨吧明天会拉屎不,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1164,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1164,train,1164,推荐经典的欢快场景音乐,1,0,False,音乐,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1165,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1165,train,1165,滑动点副驾大屏,1,1,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1166,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1166,train,1166,关闭天窗,1,1,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1167,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1167,train,1167,我要吃杏仁瓦片,1,0,False,地图,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1168,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1168,train,1168,今天是十二月多少号,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1169,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1169,train,1169,播放从前有座灵剑山,1,0,False,影视,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1170,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1170,train,1170,关闭座椅加热打开座椅按摩,2,2,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1171,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1171,train,1171,我要让高速优先,1,0,False,地图,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1172,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1172,train,1172,打开驻车舒享模式打开前排车窗打开示宽灯,3,3,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1173,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1173,train,1173,给我算一下以2为底8的对数,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1174,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1174,train,1174,问一下这个歌的专辑,1,0,False,音乐,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1175,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1175,train,1175,打开车窗打开遮阳帘打开氛围灯播放周杰伦的音乐打开手机无线充电,5,4,True,车载控制|音乐,mixed_domain_example,manual_review,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1176,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1176,train,1176,广东个天气适合打球伐,1,0,False,天气,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1177,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1177,train,1177,并播放诶诶撒野,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1178,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1178,train,1178,放一首张杰唱?的SOLO乐曲,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1179,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1179,train,1179,播放我是如此的相信,1,0,False,音乐,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1180,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1180,train,1180,天线宝宝天线宝宝,1,0,False,影视,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1181,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1181,train,1181,HUD调到最低,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1182,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1182,train,1182,李白的静夜思的含义,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1183,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1183,train,1183,香氛太熏人了浓度调低一点吧,1,1,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1184,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1184,train,1184,关闭天窗关闭加热,1,1,True,车载控制,split_sens_gt_semantic_units,manual_review,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1185,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1185,train,1185,请播放杨宗纬的歌曲并且将音量调小,2,1,True,车载控制|音乐,mixed_domain_example,manual_review,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1186,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1186,train,1186,13660216082是谁的号码,1,0,False,打电话,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1187,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1187,train,1187,桌面切换为壁纸桌面,1,1,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1188,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1188,train,1188,我要打电话,1,0,False,打电话,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1189,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1189,train,1189,减小混响音量,1,1,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1190,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1190,train,1190,给小孩子播放一个经典寓言故事行吗,0,0,False,,no_vehicle_target|split_sens_gt_semantic_units|unannotated_source,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1191,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1191,train,1191,关闭低速报警关闭空调,2,2,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1192,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1192,train,1192,播放橘子之歌,1,0,False,音乐,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1193,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1193,train,1193,媒体音量是多大,1,1,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1194,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1194,train,1194,我想听一下那个歌单名字是小红acbd,1,0,False,音乐,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1195,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1195,train,1195,能量回收强度高20,1,1,True,车载控制,,candidate,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1196,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1196,train,1196,帮我显示电子眼播报,1,0,False,地图,no_vehicle_target,excluded,
macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1197,macslu:40670d121a89ad7142e3536ee6dc05374d095f6b:train:1197,train,1197,我想调调播报帮我把它改成借过提醒,1,1,True,车载控制,,candidate,
