slot_name,slot_value,total,train,validation,test
调节内容,模式,665,547,47,71
调节内容,方向,361,321,13,27
位置,前排,157,129,15,13
功能,驻车,155,123,12,20
车内灯类型,氛围灯,151,125,9,17
对象,氛围灯,149,123,9,17
操作,查看,129,113,9,7
对象,后视镜,112,96,5,11
模式,舒享,107,86,9,12
调节内容,风向,94,85,6,3
操作_concrete,true,93,79,7,7
操作,移,78,72,2,4
模式,自动,78,67,2,9
模式,自然风,75,59,6,10
调节内容,透光度,75,72,3,0
对象,方向盘,74,66,5,3
调节内容,亮度,73,60,6,7
调节内容,高度,72,64,4,4
对象,大灯,71,59,3,9
车外灯类型,大灯,71,59,3,9
位置,前,60,54,2,4
位置,后,59,49,6,4
位置,后排,59,54,3,2
对象,扶手,59,57,1,1
对象,扶手台,59,49,3,7
操作,滑动,58,51,1,6
对象,香氛,57,47,6,4
对象,后备箱,56,47,2,7
对象,天幕,54,48,4,2
对象,阅读灯,45,38,5,2
操作,切换,45,40,3,2
车内灯类型,阅读灯,45,38,5,2
页面,设置,44,37,4,3
操作,移动,43,38,3,2
value,最大,42,37,2,3
对象,示廓灯,42,29,3,10
对象,车门,42,37,4,1
调节内容,音量,42,37,2,3
车外灯类型,示廓灯,42,29,3,10
调节内容,座椅记忆位置,41,34,4,3
位置,主副驾,40,38,0,2
对象,靠背,40,34,1,5
对象功能,除霜,40,35,0,5
操作,滑,39,33,2,4
对象功能,除雾,38,32,3,3
对象,娱乐屏,37,34,1,2
对象,整车,37,33,2,2
对象,腰托,36,32,0,4
模式,舒享模式,35,25,3,7
调节内容,颜色,35,30,3,2
功能,车道辅助,34,26,2,6
对象,车灯,33,29,1,3
页面,页面,31,27,3,1
功能,智慧巡航,30,27,1,2
value,一半,29,27,1,1
对象,门,29,22,5,2
方向偏移量,max,29,24,1,4
调节内容,时长,29,24,1,4
页面,设置页面,28,25,2,1
对象,雾灯,27,21,0,6
方向偏移量,最后,27,26,0,1
车外灯类型,雾灯,27,21,0,6
对象功能,出风口,26,23,2,1
调节内容,角度,26,21,2,3
value,最亮,24,23,1,0
位置,车外,24,20,1,3
功能,前向辅助,24,19,3,2
对象,冰箱,24,19,2,3
操作,切换为,24,19,2,3
模式,手动,24,19,3,2
位置,右后,23,21,2,0
对象,娱乐屏幕,23,20,1,2
调节内容,预警方式,23,17,3,3
功能,交通标志,22,18,1,3
操作,设,22,19,2,1
模式,制冷,22,21,1,0
调节内容,弹性,22,16,5,1
对象,坐垫,21,19,0,2
对象,车外灯,21,19,1,1
操作,调一点,21,20,0,1
方向偏移量,最前,21,18,3,0
调节内容,音,21,17,3,1
value,一挡,20,13,2,5
value,往前,20,20,0,0
value,百分之三十,20,17,3,0
位置,右前,20,16,2,2
对象,位置灯,20,19,0,1
对象,雨刮,20,18,1,1
车外灯类型,位置灯,20,19,0,1
value,-,19,15,3,1
位置,左前,19,17,2,0
操作,开下,19,17,1,1
操作,降,19,18,1,0
value,二挡,18,16,1,1
value,前,18,15,2,1
value,最低,18,16,2,0
位置,主驾副驾,18,16,2,0
功能,查询剩余电量,18,16,0,2
对象,灯,18,15,2,1
对象功能,儿童锁,18,13,2,3
对象功能,迎宾,18,15,0,3
调节内容,音效,18,15,2,1
value,最高,17,16,1,0
对象,玻璃,17,15,1,1
对象,示宽灯,17,13,1,3
调节内容,浓度,17,14,3,0
车外灯类型,示宽灯,17,13,1,3
车机模块,流媒体,17,14,0,3
value,+,16,11,4,1
位置,前面,16,15,0,1
对象,扬声器,16,13,1,2
对象,灯光,16,16,0,0
对象,空气净化器,16,14,2,0
对象,腿托,16,15,0,1
对象,驾驶,16,13,1,2
页面,设置页,16,11,1,4
value,minor,15,13,1,1
位置,左后,15,12,0,3
功能,侧后辅助,15,13,1,1
对象,空气净化,15,13,1,1
对象功能,充电,15,15,0,0
调节内容,按摩强度,15,15,0,0
value,后,14,13,1,0
value,调高,14,12,0,2
value,调高一点,14,12,0,2
位置,车内,14,13,1,0
对象,车内灯,14,13,0,1
对象功能,助力,14,14,0,0
操作,取消,14,12,0,2
操作,开到,14,13,0,1
操作,调整为,14,12,1,1
调节内容,距离,14,12,1,1
页面,界面,14,12,1,1
value,小一点,13,12,1,0
对象,侧翼,13,10,3,0
对象,外后视镜,13,12,1,0
对象,座椅靠背,13,10,3,0
对象功能,同步,13,12,0,1
操作,停止,13,12,0,1
调节内容,车速,13,12,1,0
调节内容,透明度,13,11,0,2
value,向前,12,11,0,1
value,百分之二十,12,11,1,0
value,百分之五十,12,8,3,1
对象,关闭,12,11,1,0
对象,近光灯,12,11,1,0
对象,门锁,12,11,0,1
对象功能,零重力,12,12,0,0
操作,退出,12,11,1,0
模式,内循环,12,8,1,3
调节内容,声音,12,10,2,0
调节内容,间隔,12,11,0,1
车外灯类型,近光灯,12,11,1,0
页面,开关,12,12,0,0
value,8挡,11,10,0,1
value,下,11,11,0,0
value,中,11,8,2,1
value,往后,11,11,0,0
value,最小,11,10,0,1
对象,智能儿童座椅,11,11,0,0
对象,蓝牙耳机,11,9,1,1
对象功能,低速报警,11,9,1,1
操作,切换成,11,8,1,2
操作,降下,11,8,1,2
value,max,10,8,1,1
value,min,10,10,0,0
value,红色,10,8,1,1
value,调低,10,7,2,1
value,调低一点,10,8,1,1
位置,右边,10,6,3,1
功能,查询续航里程,10,9,0,1
功能,胎压监测,10,10,0,0
对象,吸顶屏,10,9,1,0
对象,悬架,10,8,0,2
对象,远光灯,10,7,1,2
对象,麦克风,10,9,1,0
对象功能,低速提示音,10,9,0,1
对象功能,折叠,10,8,1,1
调节内容,透明值,10,7,2,1
车外灯类型,远光灯,10,7,1,2
value,三挡,9,9,0,0
value,松一点,9,7,1,1
value,调到最低,9,6,2,1
位置,后面,9,8,1,0
功能,盲区预警,9,8,1,0
对象,后尾门,9,7,2,0
对象,摄像头,9,8,1,0
对象,电动门,9,8,1,0
对象,表面灯,9,9,0,0
操作,换成,9,7,1,1
操作,调节为,9,6,1,2
模式,外循环,9,8,1,0
value,上,8,6,1,1
value,低,8,7,1,0
value,吹脚,8,7,0,1
value,往下,8,8,0,0
value,百分之六十,8,6,0,2
位置,右侧,8,8,0,0
对象,全气候灯,8,6,0,2
对象,天窗遮阳帘,8,6,2,0
对象,车上窗户,8,5,1,2
对象功能,律动,8,7,1,0
对象功能,风扇,8,6,2,0
操作,切换到,8,7,1,0
操作,改为,8,8,0,0
操作,选择,8,7,0,1
模式,呼吸,8,8,0,0
调节内容,灵敏度,8,7,1,0
调节内容,速度,8,6,0,2
车内灯类型,表面灯,8,8,0,0
车外灯类型,全气候灯,8,6,0,2
value,50%,7,7,0,0
value,一点,7,7,0,0
value,两挡,7,5,2,0
value,二分之一,7,7,0,0
value,前面,7,6,1,0
value,加大,7,7,0,0
value,十九,7,6,0,1
value,十九度,7,7,0,0
value,后面,7,7,0,0
value,朝前面,7,6,0,1
value,震动,7,6,1,0
位置,前后,7,6,1,0
位置,最后一排,7,6,0,1
功能,自动泊车,7,7,0,0
功能,自适应巡航,7,5,1,1
子功能,前向碰撞预警,7,4,2,1
子功能,自动变道提醒,7,4,1,2
对象,天窗窗帘,7,7,0,0
对象,安全带,7,5,0,2
对象,转向灯,7,4,1,2
对象功能,中控锁,7,5,2,0
对象功能,均衡器,7,6,1,0
对象功能,车外低速报警,7,6,0,1
操作,暂停,7,5,1,1
模式,标准,7,6,1,0
模式,自然通风,7,6,0,1
调节内容,摄像头模式,7,6,1,0
车外灯类型,转向灯,7,4,1,2
value,到最后,6,4,0,2
value,向后,6,5,0,1
value,对人吹,6,6,0,0
value,开大一点,6,6,0,0
value,往上,6,6,0,0
value,往下一点,6,6,0,0
value,往前一点,6,4,0,2
value,往后方,6,6,0,0
value,往后面,6,5,0,1
value,紧一点,6,5,1,0
value,降低,6,6,0,0
value,高,6,6,0,0
位置,三排,6,4,1,1
位置,主副驾驶,6,4,2,0
位置,主驾座,6,5,1,0
位置,主驾的,6,5,0,1
位置,左侧,6,6,0,0
功能,三六零,6,4,1,1
功能,声浪,6,6,0,0
功能,无线充电,6,6,0,0
功能,查询充电时间,6,5,1,0
功能,模拟声浪,6,4,1,1
子功能,交通灯提示,6,6,0,0
对象,后背,6,6,0,0
对象,座椅腿托,6,6,0,0
对象,椅靠背,6,5,0,1
对象,电源,6,6,0,0
对象,礼貌灯,6,6,0,0
对象,车载儿童座椅,6,5,0,1
对象,车载智能儿童座椅,6,6,0,0
对象,遮阳板,6,5,1,0
对象,雨刷,6,3,3,0
对象功能,声音均衡器,6,5,0,1
对象功能,行人警示音,6,5,1,0
操作,下降,6,5,0,1
操作,使用,6,5,0,1
操作,升,6,6,0,0
操作,复位,6,5,1,0
操作,解锁,6,4,0,2
操作,进入,6,6,0,0
模式,来电提醒,6,6,0,0
模式,泥泞驾驶模式,6,6,0,0
模式,肩部舒展,6,5,0,1
模式,背部放松,6,5,1,0
模式,自动模式,6,3,1,2
模式,舒适,6,4,1,1
车内灯类型,礼貌灯,6,6,0,0
value,后边,5,4,0,1
value,向下,5,4,0,1
value,向主驾,5,4,0,1
value,四分之三,5,4,1,0
value,往前面,5,3,1,1
value,往后调,5,5,0,0
value,最暗,5,5,0,0
value,最透光,5,5,0,0
value,朝前,5,5,0,0
value,朝前方,5,4,1,0
value,朝后方,5,5,0,0
value,调到最高,5,4,0,1
value,调小,5,4,0,1
位置,全,5,5,0,0
位置,内,5,4,0,1
位置,右,5,5,0,0
位置,四个,5,5,0,0
位置,左边,5,3,2,0
位置,所有的,5,5,0,0
功能,保养,5,4,1,0
功能,停车,5,3,1,1
功能,查询轮胎状态,5,4,0,1
功能,音效增强,5,4,1,0
子功能,超速报警,5,3,0,2
子功能,超速提醒,5,5,0,0
子功能,限速偏移,5,4,1,0
对象,交互灯,5,4,0,1
对象,儿童座椅,5,4,0,1
对象,充电口盖,5,5,0,0
对象,制冷器,5,3,1,1
对象,头枕屏,5,5,0,0
对象,头枕音响,5,5,0,0
对象,尾翼,5,3,0,2
对象,座椅侧翼,5,2,3,0
对象,座椅坐垫,5,5,0,0
