status,reason_codes,normalized_signature,total,train,validation,test
ambiguous,unrecognized_source_value,"{""intent_class"":""body_control"",""operator"":""activate""}",978,820,68,90
ambiguous,unrecognized_source_value,"{""intent_class"":""body_control"",""operator"":""deactivate""}",652,539,49,64
ambiguous,mixed_domain_example,{},566,495,24,47
ambiguous,unrecognized_source_value,"{""intent_class"":""body_control""}",531,452,30,49
ambiguous,unrecognized_source_value,"{""intent_class"":""body_control"",""operator"":""set""}",372,316,26,30
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""activate""}",311,260,18,33
unsupported,function_outside_schema,"{""intent_class"":""infotainment_control"",""operator"":""set""}",254,220,13,21
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set""}",240,207,12,21
ambiguous,unrecognized_source_value,"{""intent_class"":""body_control"",""operator"":""set"",""operator_modifier"":""assignment""}",230,199,18,13
unsupported,function_outside_schema,"{""intent_class"":""infotainment_control"",""operator"":""deactivate""}",218,184,14,20
needs_context,missing_required_argument,"{""entity"":""seat"",""feature"":""ventilation"",""intent_class"":""body_control"",""operator"":""activate""}",203,166,18,19
unsupported,function_outside_schema,"{""intent_class"":""infotainment_control""}",188,163,12,13
ambiguous,unrecognized_source_value,"{""intent_class"":""body_control"",""operator_modifier"":""assignment""}",187,158,14,15
unsupported,function_outside_schema,"{""intent_class"":""infotainment_control"",""operator"":""activate""}",183,164,9,10
needs_context,missing_entity_context,"{""intent_class"":""information_fragment""}",151,128,10,13
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""deactivate""}",132,116,8,8
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""operator_modifier"":""assignment""}",127,110,7,10
ambiguous,unrecognized_source_value,"{""entity"":""hvac"",""intent_class"":""body_control"",""operator"":""activate""}",121,102,10,9
ambiguous,unrecognized_source_value,"{""entity"":""hvac"",""intent_class"":""body_control"",""operator"":""set""}",109,95,9,5
needs_context,missing_required_argument,"{""entity"":""seat"",""feature"":""massage"",""intent_class"":""body_control"",""operator"":""activate""}",96,84,3,9
unsupported,function_outside_schema,"{""intent_class"":""infotainment_control"",""operator"":""set"",""operator_modifier"":""assignment""}",95,86,3,6
ambiguous,unrecognized_source_value,"{""entity"":""seat"",""feature"":""ventilation"",""intent_class"":""body_control"",""operator"":""activate""}",88,77,4,7
needs_context,missing_required_argument,"{""entity"":""window"",""intent_class"":""body_control"",""operator"":""deactivate""}",79,61,7,11
ambiguous,unrecognized_source_value,"{""entity"":""hvac"",""intent_class"":""body_control"",""operator"":""deactivate""}",78,64,6,8
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator_modifier"":""assignment""}",77,68,5,4
ambiguous,unrecognized_source_value,"{""feature"":""heating"",""intent_class"":""body_control"",""operator"":""activate""}",69,63,1,5
needs_context,missing_required_argument,"{""entity"":""window"",""intent_class"":""body_control"",""operator"":""activate""}",68,56,7,5
unsupported,function_outside_schema,"{""intent_class"":""infotainment_control"",""zone"":""front_passenger""}",67,53,3,11
ambiguous,unrecognized_source_value,"{""entity"":""hvac"",""intent_class"":""body_control"",""operator"":""set"",""operator_modifier"":""assignment""}",53,47,6,0
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""property"":""fan_speed""}",52,45,2,5
ambiguous,unrecognized_source_value,"{""entity"":""seat"",""feature"":""massage"",""intent_class"":""body_control"",""operator"":""activate""}",51,48,0,3
ambiguous,unrecognized_source_value,"{""entity"":""window"",""intent_class"":""body_control"",""operator"":""activate""}",49,44,3,2
needs_context,missing_required_argument,"{""entity"":""seat"",""feature"":""ventilation"",""intent_class"":""body_control"",""operator"":""deactivate""}",49,37,3,9
ambiguous,unrecognized_source_value,"{""entity"":""sunroof"",""intent_class"":""body_control"",""operator"":""set""}",45,44,1,0
needs_context,missing_required_argument,"{""entity"":""seat"",""feature"":""heating"",""intent_class"":""body_control"",""operator"":""activate""}",43,37,1,5
unsupported,function_outside_schema,"{""intent_class"":""infotainment_control"",""operator_modifier"":""assignment""}",43,37,4,2
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""operator_modifier"":""assignment"",""property"":""fan_speed"",""target"":{""kind"":""extreme"",""value"":""max""}}",41,36,2,3
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""operator_modifier"":""assignment"",""property"":""fan_speed"",""target"":{""kind"":""absolute"",""unit"":""level"",""value"":3}}",40,29,5,6
ambiguous,unrecognized_source_value,"{""entity"":""hvac"",""intent_class"":""body_control""}",36,34,1,1
needs_context,missing_required_argument,"{""entity"":""seat"",""feature"":""heating"",""intent_class"":""body_control"",""operator"":""deactivate""}",32,24,2,6
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""operator_modifier"":""assignment"",""property"":""fan_speed"",""target"":{""kind"":""absolute"",""unit"":""level"",""value"":1}}",31,25,2,4
ambiguous,unrecognized_source_value,"{""entity"":""hvac"",""intent_class"":""body_control"",""operator"":""set"",""property"":""temperature""}",30,25,2,3
ambiguous,unrecognized_source_value,"{""entity"":""seat"",""intent_class"":""body_control"",""operator"":""activate""}",30,28,1,1
ambiguous,unrecognized_source_value,"{""intent_class"":""body_control"",""operator"":""deactivate"",""zone"":""all""}",29,27,0,2
ambiguous,no_mapping_rule,"{""feature"":""ventilation"",""intent_class"":""body_control"",""operator"":""activate""}",28,26,0,2
ambiguous,unrecognized_source_value,"{""entity"":""seat"",""intent_class"":""body_control"",""operator"":""set""}",28,26,0,2
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""operator_modifier"":""assignment"",""property"":""fan_speed"",""target"":{""kind"":""absolute"",""unit"":""level"",""value"":2}}",28,25,1,2
ambiguous,unrecognized_source_value,"{""entity"":""hvac"",""intent_class"":""body_control"",""operator"":""set"",""property"":""fan_speed""}",27,24,2,1
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""property"":""temperature""}",27,26,0,1
ambiguous,unrecognized_source_value,"{""entity"":""seat"",""feature"":""heating"",""intent_class"":""body_control"",""operator"":""activate""}",26,20,4,2
ambiguous,unrecognized_source_value,"{""feature"":""heating"",""intent_class"":""body_control"",""operator"":""deactivate""}",26,22,3,1
ambiguous,unrecognized_source_value,"{""entity"":""seat"",""intent_class"":""body_control""}",25,22,2,1
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""operator_modifier"":""assignment"",""property"":""fan_speed""}",25,24,0,1
ambiguous,unrecognized_source_value,"{""entity"":""window"",""intent_class"":""body_control"",""operator"":""activate"",""property"":""amplitude""}",24,20,4,0
ambiguous,unrecognized_source_value,"{""entity"":""seat"",""feature"":""massage"",""intent_class"":""body_control"",""operator"":""set"",""operator_modifier"":""assignment""}",23,18,2,3
ambiguous,unrecognized_source_value,"{""intent_class"":""body_control"",""operator"":""set"",""zone"":""front_passenger""}",23,19,2,2
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""operator_modifier"":""assignment"",""property"":""temperature"",""target"":{""kind"":""absolute"",""unit"":""celsius"",""value"":20}}",23,19,3,1
ambiguous,unrecognized_source_value,"{""intent_class"":""body_control"",""operator"":""set"",""zone"":""driver""}",22,19,2,1
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""operator_modifier"":""assignment"",""property"":""temperature""}",22,20,0,2
ambiguous,unrecognized_source_value,"{""entity"":""window"",""intent_class"":""body_control"",""operator"":""deactivate""}",21,16,3,2
ambiguous,unrecognized_source_value,"{""feature"":""massage"",""intent_class"":""body_control"",""operator"":""activate""}",21,17,3,1
ambiguous,unrecognized_source_value,"{""entity"":""hvac"",""intent_class"":""body_control"",""operator"":""activate"",""operator_modifier"":""assignment""}",20,17,1,2
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""operator_modifier"":""assignment"",""property"":""temperature"",""target"":{""kind"":""extreme"",""value"":""min""}}",20,16,1,3
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""property"":""fan_speed"",""target"":{""kind"":""extreme"",""value"":""max""}}",20,17,2,1
needs_context,missing_required_argument,"{""entity"":""seat"",""feature"":""massage"",""intent_class"":""body_control"",""operator"":""deactivate""}",20,15,1,4
ambiguous,unrecognized_source_value,"{""entity"":""window"",""intent_class"":""body_control"",""operator"":""set"",""property"":""amplitude""}",19,18,1,0
ambiguous,unrecognized_source_value,"{""entity"":""hvac"",""intent_class"":""body_control"",""operator"":""set"",""operator_modifier"":""assignment"",""property"":""temperature""}",18,14,2,2
ambiguous,no_mapping_rule,"{""feature"":""massage"",""intent_class"":""body_control"",""operator"":""activate""}",17,16,0,1
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""property"":""fan_speed"",""target"":{""direction"":""increase"",""kind"":""relative"",""magnitude"":""small""}}",17,14,1,2
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""property"":""fan_speed"",""target"":{""kind"":""absolute"",""unit"":""level"",""value"":2}}",17,11,2,4
ambiguous,unrecognized_source_value,"{""entity"":""window"",""intent_class"":""body_control"",""operator"":""activate"",""property"":""amplitude"",""zone"":""front_row""}",16,14,1,1
ambiguous,unrecognized_source_value,"{""intent_class"":""body_control"",""operator"":""activate"",""zone"":""driver""}",16,15,1,0
ambiguous,unrecognized_source_value,"{""feature"":""ventilation"",""intent_class"":""body_control"",""operator"":""activate""}",15,12,1,2
ambiguous,unrecognized_source_value,"{""intent_class"":""body_control"",""zone"":""driver""}",15,15,0,0
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""operator_modifier"":""assignment"",""property"":""fan_speed"",""target"":{""kind"":""absolute"",""unit"":""level"",""value"":4}}",15,13,0,2
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""operator_modifier"":""assignment"",""property"":""temperature"",""target"":{""kind"":""absolute"",""unit"":""celsius"",""value"":25}}",15,14,1,0
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""property"":""fan_speed"",""target"":{""direction"":""decrease"",""kind"":""relative"",""magnitude"":""default""}}",15,11,2,2
needs_context,missing_entity_context,"{""intent_class"":""information_fragment"",""operator"":""set"",""property"":""fan_speed"",""target"":{""kind"":""absolute"",""unit"":""level"",""value"":3}}",14,10,0,4
ambiguous,unrecognized_source_value,"{""entity"":""hvac"",""intent_class"":""body_control"",""operator_modifier"":""assignment""}",13,12,0,1
ambiguous,unrecognized_source_value,"{""entity"":""seat"",""feature"":""heating"",""intent_class"":""body_control"",""operator"":""set"",""property"":""temperature""}",13,11,0,2
ambiguous,unrecognized_source_value,"{""entity"":""seat"",""intent_class"":""body_control"",""zone"":""driver""}",13,12,1,0
ambiguous,unrecognized_source_value,"{""entity"":""window"",""intent_class"":""body_control""}",13,11,2,0
