adjust_content,value,count
温度,最低,78
温度,二十,53
风量,最大,49
幅度,关闭,45
温度,二十二度,42
温度,二十二,36
风量,三挡,36
温度,二十三度,32
风量,一挡,30
温度,二十四度,29
幅度,一半,28
温度,二十度,28
温度,二十五,27
温度,二十四,25
温度,二十三,25
温度,二十五度,23
风速,三挡,23
透光度,最亮,22
风量,二挡,22
方向,往前,20
风速,最大,20
幅度,百分之三十,19
方向,前,19
透光度,最大,18
声音,大一点,18
温度,调低一点,18
幅度,minor,17
风向,吹脚,17
温度,二十一度,17
风量,四挡,16
温度,十八度,15
风,一挡,15
风速,二挡,14
方向,后,14
风向,对着我吹,14
温度,二十六,14
动力来源,纯电模式,13
温度,-,13
风速,一挡,13
幅度,百分之五十,12
方向,向前,12
温度,十九,12
温度,二十一,12
幅度,百分之二十,12
亮度,最亮,11
风量,一,11
温度,+,11
温度,最高,11
颜色,红色,11
方向,往后,11
幅度,-,11
温度,十八,11
风,二挡,10
声音,小一点,10
风力,三挡,10
风向,对人吹,10
亮度,+,10
方向,朝左,10
方向,右,10
动力来源,混动模式,10
风量,五挡,10
风,最大,9
温度,调高,9
方向,上,9
方向,往左,9
方向,向主驾,9
弹性,松一点,9
方向,往驾驶员,9
方向,向副驾,9
方向,下,9
风量,最小,9
幅度,+,9
透光度,最高,8
风速,大一点,8
温度,二十六度,8
方向,往前一点,8
声音,大点,8
风速,四挡,8
温度,十六度,8
幅度,百分之六十,8
温度,十九度,8
音量,调小,7
预警方式,震动,7
方向,主驾,7
温度,调高一点,7
风向,对着人吹,7
温度,降低,7
风,最小,7
幅度,二分之一,7
音量,最小,7
方向,朝前面,7
风向,吹玻璃,7
风向,避人吹,7
温度,调低,7
方向,往下,7
方向,后面,7
声,调小点声,7
温度,十六,7
幅度,一点,7
音量,max,7
方向,前面,7
方向,往主驾,7
风向,吹脸,6
幅度,最低,6
距离,中等距离,6
方向,往上,6
音量,百分之二十,6
弹性,紧一点,6
方向,往后面,6
亮度,调高,6
方向,驾驶员,6
温度,8挡,6
方向,向后,6
方向,朝主驾,6
方向,向左,6
方向,过来,6
方向,向右,6
亮度,-,6
风量,小一点,6
方向,向右边,6
音,中,6
风向,不要对着我吹,6
幅度,min,6
风力,最大,6
方向,到最后,6
方向,往后方,6
风向,左右扫风,6
声音,+,6
音量,min,5
亮度,调亮一点,5
角度,往后调,5
方向,朝后方,5
风速,加大,5
温度单位,华氏度,5
距离,近距离,5
寻车,闪灯,5
高度,最高,5
亮度,调亮,5
方向,往副驾,5
透光度,最透光,5
方向,朝右,5
方向,左,5
方向,朝前方,5
温度,低一点,5
音,高,5
方向,往右,5
方向,向下,5
风向,上下扫风,5
方向,后边,5
风量,中等,5
方向,朝副驾,5
风力,二挡,5
风,三挡,5
方向,朝右边,5
风量,调大一点,5
音量,调大,5
方向,朝驾驶员,5
方向,朝前,5
亮度,暗一点,5
风量,三,5
声,小声一点,5
方向,副驾,5
温度,二十八,5
幅度,max,5
风量,大一点,5
方向,往前面,5
音量,调高,5
风量,二,5
温度,一挡,5
方向,到这,5
温度,min,5
风,8挡,5
幅度,四分之三,5
音量,十五,5
方向,往左边,5
音量,百分之三十,4
音量,-,4
风速,最小,4
声音,50%,4
声音,最大,4
风量,三档,4
风速,五挡,4
风量,max,4
方向,调到最前,4
风量,六挡,4
音量,50%,4
风速,一,4
温度,高一点,4
高度,最低,4
音量,音量调大一点,4
温度,最小,4
音量,10%,4
方向,往下一点,4
寻车,闪灯鸣笛,4
幅度,三分之一,4
时长,二十分钟,4
亮度,最低,4
风量,调小一点,4
方向,向后方,4
动力来源,智能混动,4
声音,max,4
音量,调高10%,4
角度,小一点,4
声音,调高,4
温度,最大,4
温度,低档,4
风量,快速,4
风力,一挡,4
温度,二十三点五,4
音量,降低,4
温度,调低点,4
风量,调大,4
温度,二十七,4
风,四挡,4
高度,调低,4
方向,左边,4
风向,吹窗,4
幅度,条缝,4
方向,向后边,4
风速,二,4
音量,一半,4
亮度,最暗,4
方向,往后一点,4
亮度,调低一点,4
声音,调小点声音,4
亮度,10%,4
方向,右边,3
风速,四,3
温度,二挡,3
风速,最高,3
方向,调高一点,3
亮度,最小,3
风速,调低,3
声音,10%,3
方向,调到最后,3
音,低,3
声音,调大一点,3
温度,二十七度,3
风速,第三挡,3
视图,双后视,3
动力来源,纯电,3
风力,-,3
温度,二十八度,3
风,开大一点,3
音量,合适,3
幅度,降一点,3
动力来源,燃油优先,3
风速,最低,3
风,最低,3
风量,调小,3
音量,五十,3
风速,两挡,3
方向,到最前,3
声音,调大点声音,3
风,小,3
角度,往前调,3
颜色,紫色,3
亮度,最大,3
方向,往后边,3
音量,音量调小一点,3
音量,大点儿声,3
风向,吹脸吹窗,3
模式,40,3
温度,25度,3
幅度,-50/100,3
浓度,浓香,3
方向,朝后边,3
高度,较低的,3
声音,五,3
风力,四挡,3
声音,40%,3
时长,30秒,3
音,一半,3
亮度,调高一点,3
风量,五,3
风速,调高一点,3
方向,往上一点,3
声音,最高,3
亮度,调到最小,3
方向,往前方,3
风速,降低,3
风向,对脸吹,3
温度,二十二点五度,3
亮度,亮一点,3
方向,往右边,3
高度,调低一点,3
幅度,一些,3
声音,一,3
方向,向左边,3
幅度,+20/100,3
风量,最低,3
灵敏度,标准,3
方向,向驾驶员,3
声,+,3
颜色,绿色,3
方向,中间,3
方向,朝左边,3
音量,最大,3
音量,百分之四十,3
音量,增大,3
角度,往上调,3
方向,向上,3
浓度,最浓,3
风,大,3
亮度,调低,3
风向,别吹脸,3
风向,避开人吹,3
声音,小一些,3
高度,降低,3
亮度,太亮了,3
风量,两挡,3
风,一档,2
温度,降温,2
方向,向前方,2
风向,迎面吹风,2
声音,20,2
目标电量,降低,2
幅度,一点儿,2
亮度,80,2
声音,调小,2
距离,远距离,2
高度,向高调节,2
距离,中距离,2
高度,整体往高上,2
幅度,降低,2
使用有效期,12个月,2
风向,自动扫风,2
风,low,2
模式,适中,2
幅度,一点点,2
幅度,四分之一,2
风速,调小一点,2
风向,向上吹点,2
方向,主驾位置,2
高度,往下一点,2
风向,左右扫风模式,2
速度,80,2
间隔,中,2
声,小点声,2
方向,最前面,2
方向,往前走,2
音,减小,2
音量,减低,2
音量,百分之五十,2
时长,3小时,2
时长,1小时,2
音量,中,2
模式,最低,2
声,调大点声,2
动力来源,智能混动模式,2
风向,下,2
风,五挡,2
动力模式,纯电,2
声音,一半,2
时长,永不,2
预警方式,预警加制动,2
方向,向下一点,2
温度,调高两度,2
音量,十六,2
高度,调到最低,2
模式,最大,2
幅度,百分之十,2
方向,到这边,2
方向,前方,2
亮度,百分之五,2
方向,向上一点,2
预警方式,声音,2
风,+,2
高度,调高,2
声音,min,2
方向,到另外一侧,2
方向,朝后,2
音量,十,2
速度,最大,2
温度,调高点,2
风向,对我吹,2
声,-,2
亮度,调到最低,2
张数,三,2
风速,极速,2
幅度,50%,2
温度,低一些,2
颜色,黄,2
亮度,调暗,2
风量,调高一挡,2
风向,吹面吹窗,2
风量,min,2
风向,吹窗吹脚模式,2
温度,调低一,2
风量,减小,2
风向,吹面吹脚,2
风量,最大挡,2
高度,中间,2
风向,别吹脚,2
