object,action,count
座椅,打开,857
空调,打开,593
车窗,打开,422
空调,关闭,388
空调,调,378
空调,调节,292
车窗,关闭,280
座椅,关闭,197
座椅,调节,110
天窗,打开,109
遮阳帘,打开,108
空调,开,75
窗户,打开,69
屏幕,关闭,67
天窗,关闭,66
车窗,调节,66
氛围灯,关闭,62
遮阳帘,关闭,62
后视镜,打开,60
天窗,调节,52
大灯,关闭,52
窗户,关闭,44
示廓灯,打开,39
空调,关掉,37
屏幕,调节,36
车窗,开,36
后备箱,打开,35
座椅,调,34
方向盘,打开,32
空调,调到,30
座椅,调到,29
天幕,调节,29
靠背,调节,25
车灯,关闭,24
空调,开启,24
氛围灯,打开,22
香氛,打开,22
座椅,开启,21
屏幕,打开,21
扶手,滑动,20
位置灯,打开,18
后视镜,关闭,18
屏,移,18
扶手台,滑动,17
方向盘,关闭,17
扶手台,移,17
阅读灯,关闭,16
示宽灯,打开,16
屏幕,滑动,16
雾灯,打开,16
香氛,关闭,16
屏,移动,16
后备箱,关闭,16
腰托,调节,15
空调,关,15
车门,打开,15
空调,开到,15
阅读灯,打开,15
扶手,移,15
扶手,移动,14
屏幕,移动,14
扶手台,移动,14
空调,设置,13
氛围灯,调节,13
腰托,移,13
关闭,关闭,13
方向盘,调节,13
门,打开,12
屏幕,滑,12
屏,滑,12
娱乐屏,滑动,12
屏,滑动,12
车窗,关上,12
空调,关了,12
扶手台,滑,11
坐垫,调节,11
座椅,开,11
整车,调节,11
屏幕,调,11
扬声器,调节,11
娱乐屏,滑,10
侧翼,调节,10
屏幕,移,10
大灯,打开,10
空调,开开,10
座椅,关掉,10
车门,关闭,10
车窗,降下,10
门锁,打开,9
后视镜,调节,9
天窗,调到,9
空调,关上,9
空调,查看,9
氛围灯,调成,9
车窗,关,9
玻璃,打开,9
娱乐屏幕,移,9
窗户,调节,9
空调,开下,8
窗,打开,8
空调,调整,8
腰托,调一点,8
吸顶屏,打开,8
灯光,关闭,8
座椅靠背,调节,8
冰箱,打开,8
氛围灯,调到,8
座椅,设置,8
车窗,降,7
空调,调至,7
扶手,滑,7
显示屏,关闭,7
表面灯,调节,7
屏幕,调到,7
腿托,调节,7
后尾门,打开,7
仪表盘,调节,7
车外灯,关闭,7
天幕,打开,7
车内灯,打开,7
蓝牙耳机,调节,7
空调,关下,7
天幕,调到,7
灯,打开,7
娱乐屏幕,移动,6
空调,设,6
HUD,打开,6
座椅,复位,6
腿托,移,6
屏幕,熄灭,6
娱乐屏,移动,6
门,关闭,6
座椅腿托,调节,6
近光灯,关闭,6
雨刮,调节,6
天窗,开,6
空气净化,打开,6
车窗,下降,6
香氛,调,6
座椅,移,6
抬头显示,调节,5
空调,启动,5
天窗遮阳帘,关闭,5
雾灯,关闭,5
中控屏,关闭,5
车门,停止打开,5
驾驶,切换,5
靠背,移,5
外后视镜,关闭,5
副驾屏幕,关闭,5
车窗,升,5
转向灯,关闭,5
窗户,关上,5
氛围灯,切换为,5
遮阳板,打开,5
座椅,调整,5
大灯,调节,5
娱乐屏幕,滑,5
车门,调节,5
尾翼,打开,5
屏幕,设置,5
麦克风,调节,5
空调,设置为,5
座椅,调一点,5
交互灯,调节,5
冰箱,调到,5
座椅侧翼,调节,5
雨刮,打开,4
制冷器,调节,4
前大灯,关闭,4
屏,打开,4
椅靠背,调,4
电源,关闭,4
氛围灯,开启,4
安全带,关闭,4
座椅,滑动,4
窗户,开,4
氛围灯,切换,4
座椅,设,4
娱乐屏,打开,4
车窗,关掉,4
娱乐屏,移,4
车灯,打开,4
氛围灯,换成,4
香薰,打开,4
车外灯,打开,4
香氛,切换,4
悬架,调节,4
天幕,关闭,4
灯光,打开,4
机,关,4
空调,切换,4
窗,开,4
整车,开启,4
智能儿童座椅,关闭,4
头枕屏,调节,4
空调,调为,4
座椅,恢复,4
屏,调节,4
座椅,开一下,4
窗帘,打开,4
玻璃,降,4
门,开下,4
线条灯,调节,4
屏幕,调成,4
香氛,调节,3
坐垫,打开,3
屏,关闭,3
门,关掉,3
座椅坐垫,调节,3
车窗,开启,3
摄像头,调节,3
副驾屏,关闭,3
座椅,保存,3
显示屏,移动,3
座椅,选择,3
仪表,设置,3
驾驶,切换为,3
电动门,关闭,3
座椅,切换,3
车外灯,调节,3
座椅,开开,3
仪表,调节,3
中控,关闭,3
屏,设置,3
座位,调节,3
香氛,设,3
大灯,关掉,3
副屏,关闭,3
空调,降,3
车灯,关掉,3
远光灯,关闭,3
智能儿童座椅,退出,3
后备箱,调节,3
窗,关闭,3
座椅靠背,调,3
空气净化,调节,3
天窗,关,3
空气净化器,调节,3
外后视镜,打开,3
示廓灯,关闭,3
天窗遮阳帘,打开,3
座位,打开,3
天窗,关上,3
中控屏幕,调节,3
整车,打开,3
座椅,关,3
全气候灯,打开,3
香氛,调到,3
阅读灯,开,3
窗,调节,3
充电口,打开,3
仪表,调,3
氛围灯,设置,3
中控屏,调节,3
车内灯,切换,3
仪表盘,调,3
娱乐屏幕,滑动,3
后视镜,开,3
充电口盖,打开,3
车载智能儿童座椅,打开,3
玻璃,关闭,3
腿托,调一点,3
雨刷,打开,3
欢送灯,设置,3
扶手,调节,3
车窗玻璃,打开,3
腰托下腰托,调节,3
阅读灯,开开,2
大灯,关一下,2
车窗雨刷器,打开,2
座椅,加载,2
悬架,关闭,2
靠背,打开,2
座椅靠背能不能,调节,2
后视镜,停止,2
冰箱电源,打开,2
荧幕,调节,2
座椅腰托,调节,2
车窗,升起,2
话筒,调节,2
外后视镜,调节,2
智能儿童座椅,打开,2
灯光,调节,2
装饰灯,调节,2
脚踏,调节,2
座椅腰部,打开,2
雷达,打开,2
空气净化器,开开,2
儿童座椅,关闭,2
调整,调整,2
天窗,翘起,2
靠背,调到,2
中控屏,打开,2
HUD,调节,2
充电枪锁,打开,2
冰箱,调节,2
屏幕,关掉,2
座椅腰托下腰托,调节,2
座椅,还原,2
智能儿童座椅,启动,2
照灯,打开,2
摄像头,打开,2
冰箱,设为,2
空调,退出,2
座椅,启动,2
后视镜,开启,2
空调,切换为,2
方向盘,调为,2
整车,切换,2
空调,不要,2
整车,调节至,2
仪表,设置为,2
靠背,调,2
窗帘,关闭,2
椅,调,2
头枕音响,切换,2
仪表屏,调,2
窗户,开个,2
空调,设为,2
雨刮,开,2
