object,function,count
座椅,通风,591
座椅,按摩,353
座椅,加热,191
方向盘,加热,52
后视镜,加热,36
方向盘,助力,12
座椅,律动,10
座椅,零重力,9
智能儿童座椅,通风,8
车窗,通风,8
空调,出风口,7
空调,除雾,6
屏,保,6
空调,通风,6
空调,同步,6
后视镜,除霜,5
儿童座椅,通风,5
空调,除霜,5
后视镜,折叠,5
椅,通风,5
座椅,按摩功能,4
窗户,通风,4
坐垫,延长,3
雷达,倒车,3
车外灯,迎宾,3
智能儿童座椅,加热,3
背部,按摩,3
氛围灯,同步,3
座椅,震动,3
车载儿童座椅,加热,3
座椅,竖直,3
外后视镜,倒车下翻,3
车载智能儿童座椅,通风,3
钥匙,解锁,3
车窗,透气,3
车载智能儿童座椅,加热,3
车载儿童座椅,通风,3
欢送灯,迎宾,3
氛围灯,出风口,2
灯,充电,2
充电枪锁,慢充,2
车门,行车自动关门,2
脚踏,加热,2
灯,迎宾,2
座椅,放平,2
椅,按摩,2
座椅,放直,2
颈部,加热,2
蒸发器,自干燥,2
侧翼,主动,2
座椅,出风,2
座椅,抬直,2
侧翼,转向支撑,2
后视镜,倒车后视镜下翻,2
座位,通风,2
腿托,延长,2
座椅,直立,2
座椅,热,2
座椅,肩部位置,2
空调,左侧出风口,2
座椅,音场优化,2
座位,加热,2
车窗,窗子的短升短降,2
门锁,行车闭锁,2
空调,除湿模式,2
交流充电口盖,交流电,2
反光镜,加热,2
转向,助力,2
天窗,通风,2
视镜,折叠,1
靠背,躺倒,1
座椅,通通风,1
门把手,自动缩回,1
方向盘,热一下,1
冰箱,延时掉电,1
外后视镜,锁车外后视镜自动折叠系统,1
交流端盖,交流电,1
座椅,通风模式,1
仪表,全屏,1
外后视镜,倒车,1
颈枕,加热,1
屏幕,自动色温,1
车窗,车窗短升短降,1
车外灯,充电,1
空调,右边的出风口,1
头枕屏,蓝牙,1
中控,放倒,1
座椅,声场优化,1
冰箱,持续工作,1
空调,右出风口,1
方向盘,动力,1
坐垫,翻折,1
座位,按摩,1
椅背屏左,息屏,1
坐垫,升温,1
空调,出口,1
腿托,折叠,1
整车,充电,1
空调,通风模,1
门锁,中控锁,1
蓝牙钥匙,离车自动落锁,1
座椅,放倒,1
座椅,躺下,1
后视镜,内折收,1
氛围灯,迎宾,1
外后视镜,设为折叠,1
屏幕,触摸屏声音,1
麦克风,使用权限,1
门,感应,1
脚托,联动,1
窗,透气,1
座椅,躺平,1
屏幕,锁定,1
雨刮器,喷水,1
屏,自动熄屏,1
后视镜,倒车时后视镜倾斜,1
麦克风,混响,1
空调,抽湿功能,1
空调,干燥功能,1
安全带,安全带未系报警,1
座椅,同步座椅通风,1
屏幕,屏幕锁,1
电动尾翼,迎宾模式,1
后视镜,照地,1
座椅,加,1
空调,按摩,1
外后视镜,加热,1
座椅,加热功能,1
座椅,迎宾,1
座椅,智能理疗,1
电椅,加热,1
仪表,续航,1
冰箱,延时断电,1
空调,右侧出风口,1
空调,平衡,1
座椅,热一热,1
星空顶棚,联动迎宾,1
外后视镜,锁车折叠,1
尾翼,迎宾,1
冰箱,童锁,1
安全带,安全带报警音,1
靠背,放平,1
屏幕,锁,1
屏幕,触摸屏音效,1
座椅,完全放平,1
空调,右边空调出风口,1
座椅,一键零重力,1
遥控,解锁功能,1
吸顶屏,蓝牙,1
电滑门,感应开启,1
座椅靠背,调直,1
座椅,折起来,1
屏幕,全屏,1
屏幕,触屏音效,1
后视镜,自动下翻功能,1
安全带,安全带没系提醒音,1
屏,息屏,1
空调,蓝牙,1
全景记录仪,录像锁定,1
外后视镜,锁车外后视镜自动折叠模式,1
座椅脚托,折叠,1
车窗,童锁,1
座椅,动力学,1
门锁,行车落锁,1
屏幕,负一屏幕,1
腿托,伸长,1
空调,自干燥,1
空调,换气,1
脚托,收起,1
座椅靠背,加热,1
直流端盖,直流电,1
灯,动态迎宾,1
前视记录仪,录像锁定,1
车灯,迎宾,1
空调,去潮模式,1
车窗,透透气,1
氛围灯,欢送,1
转向灯,预览,1
雨刷,清洗,1
座椅,理疗模式,1
屏幕,展开,1
吸顶屏,观影角度,1
方向盘,取暖,1
天窗,透透气,1
外后视镜,折叠,1
后视镜,倒车,1
窗,通风,1
口盖,慢速充电,1
屏幕,全屏显示,1
倒后镜,加热,1
安全带,安全带提示,1
屏幕,分屏,1
屏幕,同步,1
屁股座垫,通风,1
门窗,通风,1
座椅腰部,按摩,1
交流接口盖,交流电,1
交流直流二合一充电口盖,交直流电,1
