split,id,query,split_sens_count,active_semantics_count,vehicle_semantics_count,domains,mixed_domain,integrity,split_sens,vehicle_semantics
train,1153,关闭左前阅读灯,1,1,1,车载控制,False,count_match,"[""关闭左前阅读灯""]","[{""intent_index"": ""意图1"", ""slots"": {""intent"": [""车身控制""], ""操作"": [""关闭""], ""位置"": [""左前""], ""对象"": [""阅读灯""], ""车内灯类型"": [""阅读灯""]}}]"
train,1154,麻烦转到空调吹脸,1,1,1,车载控制,False,count_match,"[""麻烦转到空调吹脸""]","[{""intent_index"": ""意图1"", ""slots"": {""intent"": [""车身控制""], ""操作"": [""转到""], ""对象"": [""空调""], ""value"": [""吹脸""], ""操作_concrete"": [""true""], ""调节内容"": [""风向""]}}]"
train,1160,设置车内灯,1,1,1,车载控制,False,count_match,"[""设置车内灯""]","[{""intent_index"": ""意图1"", ""slots"": {""intent"": [""车身控制""], ""操作"": [""设置""], ""对象"": [""车内灯""]}}]"
train,1165,滑动点副驾大屏,1,1,1,车载控制,False,count_match,"[""滑动点副驾大屏""]","[{""intent_index"": ""意图1"", ""slots"": {""intent"": [""车机控制""], ""操作"": [""滑动点""], ""位置"": [""副驾""], ""对象"": [""大屏""]}}]"
train,1166,关闭天窗,1,1,1,车载控制,False,count_match,"[""关闭天窗""]","[{""intent_index"": ""意图1"", ""slots"": {""intent"": [""车身控制""], ""操作"": [""关闭""], ""对象"": [""天窗""]}}]"
train,1170,关闭座椅加热打开座椅按摩,2,2,2,车载控制,False,count_match,"[""关闭座椅加热"", ""打开座椅按摩""]","[{""intent_index"": ""意图1"", ""slots"": {""intent"": [""车身控制""], ""操作"": [""关闭""], ""对象"": [""座椅""], ""对象功能"": [""加热""]}}, {""intent_index"": ""意图2"", ""slots"": {""intent"": [""车身控制""], ""操作"": [""打开""], ""对象"": [""座椅""], ""对象功能"": [""按摩""]}}]"
train,1172,打开驻车舒享模式打开前排车窗打开示宽灯,3,3,3,车载控制,False,count_match,"[""打开驻车舒享模式"", ""打开前排车窗"", ""打开示宽灯""]","[{""intent_index"": ""意图1"", ""slots"": {""intent"": [""车身控制""], ""操作"": [""打开""], ""功能"": [""驻车""], ""模式"": [""舒享模式""], ""调节内容"": [""模式""]}}, {""intent_index"": ""意图2"", ""slots"": {""intent"": [""车身控制""], ""操作"": [""打开""], ""位置"": [""前排""], ""对象"": [""车窗""]}}, {""intent_index"": ""意图3"", ""slots"": {""intent"": [""车身控制""], ""操作"": [""打开""], ""对象"": [""示宽灯""], ""车外灯类型"": [""示宽灯""]}}]"
train,1175,打开车窗打开遮阳帘打开氛围灯播放周杰伦的音乐打开手机无线充电,5,5,4,车载控制|音乐,True,count_match,"[""打开车窗"", ""打开遮阳帘"", ""打开氛围灯"", ""播放周杰伦的音乐"", ""打开手机无线充电""]","[{""intent_index"": ""意图1"", ""slots"": {""intent"": [""车身控制""], ""操作"": [""打开""], ""对象"": [""车窗""]}}, {""intent_index"": ""意图2"", ""slots"": {""intent"": [""车身控制""], ""操作"": [""打开""], ""对象"": [""遮阳帘""]}}, {""intent_index"": ""意图3"", ""slots"": {""intent"": [""车身控制""], ""操作"": [""打开""], ""对象"": [""氛围灯""], ""车内灯类型"": [""氛围灯""]}}, {""intent_index"": ""意图5"", ""slots"": {""intent"": [""车身控制""], ""操作"": [""打开""], ""功能"": [""手机无线充电""]}}]"
train,1183,香氛太熏人了浓度调低一点吧,1,1,1,车载控制,False,count_match,"[""香氛太熏人了浓度调低一点吧""]","[{""intent_index"": ""意图1"", ""slots"": {""intent"": [""车身控制""], ""对象"": [""香氛""], ""调节内容"": [""浓度""], ""value"": [""浓度调低一点""], ""操作"": [""调节""]}}]"
train,1184,关闭天窗关闭加热,2,1,1,车载控制,False,semantics_missing,"[""关闭天窗"", ""关闭加热""]","[{""intent_index"": ""意图1"", ""slots"": {""intent"": [""车身控制""], ""操作"": [""关闭""], ""对象"": [""天窗""]}}]"
train,1185,请播放杨宗纬的歌曲并且将音量调小,2,2,1,车载控制|音乐,True,count_match,"[""请播放杨宗纬的歌曲"", ""将音量调小""]","[{""intent_index"": ""意图2"", ""slots"": {""intent"": [""提供信息""], ""调节内容"": [""音量""], ""value"": [""调小""], ""操作"": [""调节""]}}]"
train,1187,桌面切换为壁纸桌面,1,1,1,车载控制,False,count_match,"[""桌面切换为壁纸桌面""]","[{""intent_index"": ""意图1"", ""slots"": {""intent"": [""车身控制""], ""操作"": [""切换为""], ""操作_concrete"": [""为""], ""功能"": [""壁纸桌面""]}}]"
train,1189,减小混响音量,1,1,1,车载控制,False,count_match,"[""减小混响音量""]","[{""intent_index"": ""意图1"", ""slots"": {""intent"": [""车身控制""], ""value"": [""减小""], ""对象功能"": [""混响""], ""调节内容"": [""音量""], ""操作"": [""调节""]}}]"
train,1191,关闭低速报警关闭空调,2,2,2,车载控制,False,count_match,"[""关闭低速报警"", ""关闭空调""]","[{""intent_index"": ""意图1"", ""slots"": {""intent"": [""车身控制""], ""操作"": [""关闭""], ""对象功能"": [""低速报警""]}}, {""intent_index"": ""意图2"", ""slots"": {""intent"": [""车身控制""], ""操作"": [""关闭""], ""对象"": [""空调""]}}]"
train,1193,媒体音量是多大,1,1,1,车载控制,False,count_match,"[""媒体音量是多大""]","[{""intent_index"": ""意图1"", ""slots"": {""intent"": [""车机控制""], ""车机模块"": [""媒体""], ""功能"": [""查询当前音量""], ""操作"": [""查看""]}}]"
train,1195,能量回收强度高20,1,1,1,车载控制,False,count_match,"[""能量回收强度高20""]","[{""intent_index"": ""意图1"", ""slots"": {""intent"": [""提供信息""], ""调节内容"": [""能量回收强度""], ""value"": [""高20""], ""操作"": [""调节""]}}]"
train,1197,我想调调播报帮我把它改成借过提醒,1,1,1,车载控制,False,count_match,"[""我想调调播报帮我把它改成借过提醒""]","[{""intent_index"": ""意图1"", ""slots"": {""intent"": [""提供信息""], ""操作"": [""播报""], ""操作_concrete"": [""成""], ""音效"": [""借过提醒""], ""调节内容"": [""音效""]}}]"
train,1198,打开自动雨刮设置,1,1,1,车载控制,False,count_match,"[""打开自动雨刮设置""]","[{""intent_index"": ""意图1"", ""slots"": {""intent"": [""车身控制""], ""操作"": [""打开""], ""模式"": [""自动""], ""对象"": [""雨刮""], ""页面"": [""设置""], ""调节内容"": [""模式""]}}]"
train,1199,风量调到最大空调调到最亮,2,2,2,车载控制,False,count_match,"[""风量调到最大"", ""空调调到最亮""]","[{""intent_index"": ""意图1"", ""slots"": {""intent"": [""提供信息""], ""调节内容"": [""风量""], ""操作"": [""调""], ""操作_concrete"": [""到""], ""value"": [""最大""]}}, {""intent_index"": ""意图2"", ""slots"": {""intent"": [""车身控制""], ""对象"": [""空调""], ""操作"": [""调到""], ""操作_concrete"": [""到""], ""value"": [""最亮""]}}]"
train,1200,空调一档风,1,1,1,车载控制,False,count_match,"[""空调一档风""]","[{""intent_index"": ""意图1"", ""slots"": {""intent"": [""车身控制""], ""对象"": [""空调""], ""value"": [""一档""], ""调节内容"": [""风""], ""操作"": [""调节""]}}]"
